Rank,Title,Website,Email domain,
1,Walmart,http://www.walmart.com,walmart.com,
2,Amazon.com,http://www.amazon.com,amazon.com,
3,Apple,http://www.apple.com,apple.com,
4,CVS Health,http://www.cvshealth.com,cvshealth.com,
5,UnitedHealth Group,http://www.unitedhealthgroup.com,unitedhealthgroup.com,
6,Berkshire Hathaway,http://www.berkshirehathaway.com,berkshirehathaway.com,
7,McKesson,http://www.mckesson.com,mckesson.com,
8,AmerisourceBergen,http://www.amerisourcebergen.com,amerisourcebergen.com,
9,Alphabet,http://www.abc.xyz,google.com,
10,Exxon Mobil,http://www.exxonmobil.com,exxonmobil.com,
11,AT&T,http://www.att.com,att.com,
12,Costco,http://www.costco.com,costco.com,
13,Cigna,http://www.cigna.com,cigna.com,
14,Cardinal Health,http://www.cardinalhealth.com,cardinalhealth.com,
15,Microsoft,http://www.microsoft.com,microsoft.com,
16,Walgreens Boots Alliance,http://www.walgreensbootsalliance.com,walgreensbootsalliance.com,
17,Kroger,http://www.thekrogerco.com,thekrogerco.com,
18,Home Depot,http://www.homedepot.com,homedepot.com,
19,J.P. Morgan Chase,http://www.jpmorganchase.com,jpmorganchase.com,
20,Verizon,http://www.verizon.com,verizon.com,
21,Ford Motor,http://www.ford.com,ford.com,
22,General Motors,http://www.gm.com,gm.com,
23,Anthem,http://www.antheminc.com,antheminc.com,
24,Centene,http://www.centene.com,centene.com,
25,Fannie Mae,http://www.fanniemae.com,fanniemae.com,
26,Comcast,http://www.comcastcorporation.com,comcastcorporation.com,
27,Chevron,http://www.chevron.com,chevron.com,
28,Dell Technologies,http://www.delltechnologies.com,delltechnologies.com,
29,Bank of America Corp.,http://www.bankofamerica.com,bankofamerica.com,
30,Target,http://www.target.com,target.com,
31,Lowe’s,http://www.lowes.com,lowes.com,
32,Marathon Petroleum,http://www.marathonpetroleum.com,marathonpetroleum.com,
33,Citigroup,http://www.citigroup.com,citigroup.com,
34,Meta Platforms,http://www.facebook.com,fb.com,
35,UPS,http://www.ups.com,ups.com,
36,Johnson & Johnson,http://www.jnj.com,jnj.com,
37,Wells Fargo,http://www.wellsfargo.com,wellsfargo.com,
38,General Electric,http://www.ge.com,ge.com,
39,State Farm Insurance Cos.,http://www.statefarm.com,statefarm.com,
40,Intel,http://www.intel.com,intel.com,
41,Humana,http://www.humana.com,humana.com,
42,IBM,http://www.ibm.com,ibm.com,
43,Procter & Gamble,http://www.pg.com,pg.com,
44,PepsiCo,http://www.pepsico.com,pepsico.com,
45,FedEx,http://www.fedex.com,fedex.com,
46,MetLife,http://www.metlife.com,metlife.com,
47,Freddie Mac,http://www.freddiemac.com,freddiemac.com,
48,Phillips 66,http://www.phillips66.com,phillips66.com,
49,Lockheed Martin,http://www.lockheedmartin.com,lockheedmartin.com,
50,Disney,http://www.disney.com,disney.com,
51,Archer Daniels Midland,http://www.adm.com,adm.com,
52,Albertsons Cos.,http://www.albertsons.com,albertsons.com,
53,Valero Energy,http://www.valero.com,valero.com,
54,Boeing,http://www.boeing.com,boeing.com,
55,Prudential Financial,http://www.prudential.com,prudential.com,
56,HP,http://www.hp.com,hp.com,
57,Raytheon,http://www.raytheon.com,raytheon.com,
58,StoneX,,stonex.com,
59,Goldman Sachs Group,http://www.gs.com,gs.com,
60,Sysco,http://www.sysco.com,sysco.com,
61,Morgan Stanley,http://www.morganstanley.com,morganstanley.com,
62,HCA Holdings,http://www.hcahealthcare.com,hcahealthcare.com,
63,Cisco Systems,http://www.cisco.com,cisco.com,
64,Charter Communications,http://www.charter.com,charter.com,
65,Merck,http://www.merck.com,merck.com,
66,Best Buy,http://www.bestbuy.com,bestbuy.com,
67,New York Life Insurance,http://www.newyorklife.com,newyorklife.com,
68,AbbVie,http://www.abbvie.com,abbvie.com,
69,Publix Super Markets,http://www.publix.com,publix.com,
70,Allstate,http://www.allstate.com,allstate.com,
71,Liberty Mutual Insurance Group,http://www.libertymutual.com,libertymutual.com,
72,AIG,http://www.aig.com,aig.com,
73,Tyson Foods,http://www.tysonfoods.com,tysonfoods.com,
74,Progressive,http://www.progressive.com,progressive.com,
75,Bristol-Myers Squibb,http://www.bms.com,bms.com,
76,Nationwide,http://www.nationwide.com,nationwide.com,
77,Pfizer,http://www.pfizer.com,pfizer.com,
78,Caterpillar,http://www.caterpillar.com,caterpillar.com,
79,TIAA,http://www.tiaa.org,tiaa.org,
80,Oracle,http://www.oracle.com,oracle.com,
81,Energy Transfer Equity,http://www.energytransfer.com,energytransfer.com,
82,Dow Chemical,http://www.dow.com,dow.com,
83,American Express,http://www.americanexpress.com,americanexpress.com,
84,General Dynamics,http://www.generaldynamics.com,generaldynamics.com,
85,Nike,http://www.nike.com,nike.com,
86,Northrop Grumman,http://www.northropgrumman.com,northropgrumman.com,
87,USAA,http://www.usaa.com,usaa.com,
88,Deere,http://www.johndeere.com,johndeere.com,
89,Abbott Laboratories,http://www.abbott.com,abbott.com,
90,Northwestern Mutual,http://www.northwesternmutual.com,northwesternmutual.com,
91,Dollar General,http://www.dollargeneral.com,dollargeneral.com,
92,Exelon,http://www.exeloncorp.com,exeloncorp.com,
93,Coca-Cola,http://www.coca-colacompany.com,coca-colacompany.com,
94,Honeywell International,http://www.honeywell.com,honeywell.com,
95,Thermo Fisher Scientific,http://www.thermofisher.com,thermofisher.com,
96,3M,http://www.3m.com,3m.com,
97,TJX,http://www.tjx.com,tjx.com,
98,Travelers Cos.,http://www.travelers.com,travelers.com,
99,Capital One Financial,http://www.capitalone.com,capitalone.com,
100,Tesla,http://www.tesla.com,tesla.com,
101,Philip Morris International,http://www.pmi.com,pmi.com,
102,Arrow Electronics,http://www.arrow.com,arrow.com,
103,CHS,http://www.chsinc.com,chsinc.com,
104,Jabil Circuit,http://www.jabil.com,jabil.com,
105,Enterprise Products Partners,http://www.enterpriseproducts.com,enterpriseproducts.com,
106,Hewlett Packard Enterprise,http://www.hpe.com,hpe.com,
107,United Natural Foods,http://www.unfi.com,unfi.com,
108,Mondelez International,http://www.mondelezinternational.com,mondelezinternational.com,
109,ViacomCBS,http://www.viacom.com,viacomcbs.com,paramount.com
110,Kraft Heinz,http://www.kraftheinzcompany.com,kraftheinzcompany.com,
111,Dollar Tree,http://www.dollartree.com,dollartree.com,
112,Amgen,http://www.amgen.com,amgen.com,
113,U.S. Bancorp,http://www.usbank.com,usbank.com,
114,Performance Food Group,http://www.pfgc.com,pfgc.com,
115,Netflix,http://www.netflix.com,netflix.com,
